Monthly rainfall(in mm) trends for Karnataka from 01-Jan-2004 to 31-Aug-2024						
						
Dates	NORMAL (mm) 	ACTUAL (mm) 		Average Normal	Average Actual	YEAR
Jan-04	1.89	4.12		101.3208333	85.42333333	2004
Feb-04	2.68	5.51				
Mar-04	7.38	7.5				
Apr-04	36.64	46.99				
May-04	88.71	150.8				
Jun-04	210.49	187.87				
Jul-04	307.56	191.64				
Aug-04	217.31	193.18				
Sep-04	160.76	129.66				
Oct-04	129.7	88.09				
Nov-04	42.48	17.84				
Dec-04	10.25	1.88				
Jan-05	1.89	6.15		101.3208333	102.4008333	2005
Feb-05	2.68	2.93				
Mar-05	7.38	4.96				
Apr-05	36.64	65.72				
May-05	88.71	54.41				
Jun-05	210.49	161.54				
Jul-05	307.56	330.38				
Aug-05	217.31	210.8				
Sep-05	160.76	170.56				
Oct-05	129.7	182.58				
Nov-05	42.48	34.53				
Dec-05	10.25	4.25				
Jan-06	1.89	0.2		101.3208333	86.08833333	2006
Feb-06	2.68	0.01				
Mar-06	7.38	24.34				
Apr-06	36.64	17.96				
May-06	88.71	115.77				
Jun-06	210.49	195.68				
Jul-06	307.56	225.21				
Aug-06	217.31	183.68				
Sep-06	160.76	139.98				
Oct-06	129.7	66.62				
Nov-06	42.48	63.06				
Dec-06	10.25	0.55				
Jan-07	1.89	1.52		101.3208333	100.7791667	2007
Feb-07	2.68	0.81				
Mar-07	7.38	1.32				
Apr-07	36.64	32.21				
May-07	88.71	58.88				
Jun-07	210.49	260.09				
Jul-07	307.56	244.3				
Aug-07	217.31	247.39				
Sep-07	160.76	230.73				
Oct-07	129.7	104.42				
Nov-07	42.48	16.32				
Dec-07	10.25	11.36				
Jan-08	1.89	0.56		101.3208333	89.56083333	2008
Feb-08	2.68	18.61				
Mar-08	7.38	112.7				
Apr-08	36.64	23.17				
May-08	88.71	52.29				
Jun-08	210.49	150.13				
Jul-08	307.56	177.58				
Aug-08	217.31	255.35				
Sep-08	160.76	159.41				
Oct-08	129.7	91.36				
Nov-08	42.48	30.8				
Dec-08	10.25	2.77				
Jan-09	1.89	0.07		101.3208333	102.9541667	2009
Feb-09	2.68	0.03				
Mar-09	7.38	20.19				
Apr-09	36.64	25.13				
May-09	88.71	92.37				
Jun-09	210.49	121.12				
Jul-09	307.56	326.51				
Aug-09	217.31	165.94				
Sep-09	160.76	254.22				
Oct-09	129.7	149.2				
Nov-09	42.48	60.9				
Dec-09	10.25	19.77				
Jan-10	1.89	36.29		101.3208333	102.94	2010
Feb-10	2.68	0.67				
Mar-10	7.38	6.93				
Apr-10	36.64	29.47				
May-10	88.71	62.9				
Jun-10	210.49	158.51				
Jul-10	307.56	269.09				
Aug-10	217.31	240.14				
Sep-10	160.76	153.92				
Oct-10	129.7	123.04				
Nov-10	42.48	150.23				
Dec-10	10.25	4.09				
Jan-11	1.89	0.02		101.3208333	103.4275	2011
Feb-11	2.68	5.05				
Mar-11	7.38	4.02				
Apr-11	36.64	67.38				
May-11	88.71	63.39				
Jun-11	210.49	221.89				
Jul-11	307.56	302.85				
Aug-11	217.31	275.69				
Sep-11	160.76	145.33				
Oct-11	129.7	116.62				
Nov-11	42.48	37.03				
Dec-11	10.25	1.86				
Jan-12	1.89	0.35		101.3208333	93.57916667	2012
Feb-12	2.68	0.09				
Mar-12	7.38	1.41				
Apr-12	36.64	56.27				
May-12	88.71	32.72				
Jun-12	210.49	233.98				
Jul-12	307.56	216.14				
Aug-12	217.31	280.5				
Sep-12	160.76	143.5				
Oct-12	129.7	90.04				
Nov-12	42.48	63.04				
Dec-12	10.25	4.91				
Jan-13	1.89	1.18		101.3208333	95.3825	2013
Feb-13	2.68	9.58				
Mar-13	7.38	8.68				
Apr-13	36.64	31				
May-13	88.71	77.04				
Jun-13	210.49	191.66				
Jul-13	307.56	328.53				
Aug-13	217.31	154.44				
Sep-13	160.76	210.93				
Oct-13	129.7	112.37				
Nov-13	42.48	17.66				
Dec-13	10.25	1.52				
Jan-14	1.89	0.2		101.3208333	96.66833333	2014
Feb-14	2.68	3.93				
Mar-14	7.38	23.31				
Apr-14	36.64	40.11				
May-14	88.71	122.25				
Jun-14	210.49	104.72				
Jul-14	307.56	266.95				
Aug-14	217.31	287.98				
Sep-14	160.76	143.05				
Oct-14	129.7	127.29				
Nov-14	42.48	23.31				
Dec-14	10.25	16.92				
Jan-15	1.89	2.51		101.3208333	84.0875	2015
Feb-15	2.68	0.12				
Mar-15	7.38	26.47				
Apr-15	36.64	69.68				
May-15	88.71	92.78				
Jun-15	210.49	192.98				
Jul-15	307.56	120.2				
Aug-15	217.31	143.78				
Sep-15	160.76	171.67				
Oct-15	129.7	96.16				
Nov-15	42.48	87.75				
Dec-15	10.25	4.95				
Jan-16	1.89	1.67		101.3208333	66.87	2016
Feb-16	2.68	0.44				
Mar-16	7.38	3.91				
Apr-16	36.64	9.94				
May-16	88.71	79.48				
Jun-16	210.49	205.33				
Jul-16	307.56	224.45				
Aug-16	217.31	108.37				
Sep-16	160.76	114.74				
Oct-16	129.7	28.33				
Nov-16	42.48	7.07				
Dec-16	10.25	18.71				
Jan-17	1.89	2.94		101.3208333	72.86666667	2017
Feb-17	2.68	0				
Mar-17	7.38	10.05				
Apr-17	36.64	20.67				
May-17	88.71	74.98				
Jun-17	210.49	139.15				
Jul-17	307.56	123.56				
Aug-17	217.31	155.75				
Sep-17	160.76	190.84				
Oct-17	129.7	144.47				
Nov-17	42.48	10.63				
Dec-17	10.25	1.36				
Jan-18	1.89	0		101.3208333	84.47666667	2018
Feb-18	2.68	3.16				
Mar-18	7.38	16.81				
Apr-18	36.64	33.18				
May-18	88.71	143.87				
Jun-18	210.49	205.46				
Jul-18	307.56	209.38				
Aug-18	217.31	211.96				
Sep-18	160.76	89.39				
Oct-18	129.7	81.33				
Nov-18	42.48	14.27				
Dec-18	10.25	4.91				
Jan-19	1.89	1.84		101.3208333	111.8666667	2019
Feb-19	2.68	3.94				
Mar-19	7.38	4.76				
Apr-19	36.64	33.45				
May-19	88.71	53.51				
Jun-19	210.49	135.54				
Jul-19	307.56	223.15				
Aug-19	217.31	344.65				
Sep-19	160.76	225.45				
Oct-19	129.7	268.64				
Nov-19	42.48	35.14				
Dec-19	10.25	12.33				
Jan-20	1.89	0.18		101.3208333	100.845	2020
Feb-20	2.68	0.44				
Mar-20	7.38	8.18				
Apr-20	36.64	46.98				
May-20	88.71	82.06				
Jun-20	210.49	185.09				
Jul-20	307.56	132.14				
Aug-20	217.31	269.56				
Sep-20	160.76	272.31				
Oct-20	129.7	176.04				
Nov-20	42.48	26.63				
Dec-20	10.25	10.53				
Jan-21	1.89	25.07		101.3208333	111.5275	2021
Feb-21	2.68	15.52				
Mar-21	7.38	3.04				
Apr-21	36.64	50.15				
May-21	88.71	114.29				
Jun-21	210.49	190.36				
Jul-21	307.56	255.45				
Aug-21	217.31	164.86				
Sep-21	160.76	149.26				
Oct-21	129.7	187.4				
Nov-21	42.48	162.92				
Dec-21	10.25	20.01				
Jan-22	1.89	0.89		101.3208333	121.235	2022
Feb-22	2.68	0.02				
Mar-22	7.38	13.93				
Apr-22	36.64	56.69				
May-22	88.71	174.85				
Jun-22	210.49	143.44				
Jul-22	307.56	335.43				
Aug-22	217.31	307.52				
Sep-22	160.76	183.06				
Oct-22	129.7	187.82				
Nov-22	42.48	22.87				
Dec-22	10.25	28.3				
Jan-23	1.89	0.71		101.3208333	72.21083333	2023
Feb-23	2.68	0.01				
Mar-23	7.38	10.98				
Apr-23	36.64	32.89				
May-23	88.71	89.33				
Jun-23	210.49	78.83				
Jul-23	307.56	338.76				
Aug-23	217.31	51.58				
Sep-23	160.76	150.41				
Oct-23	129.7	47.08				
Nov-23	42.48	59.16				
Dec-23	10.25	6.79				
Jan-24	0	7.34			105.64	2024
Feb-24	0	0.05				
Mar-24	0	0.65				
Apr-24	0	18.02				
May-24	0	122.32				
Jun-24	210.49	181.97				
Jul-24	307.56	351.05				
Aug-24	217.31	105.64				
