year,state,dog_bite_cases,units,notes
2023,Andaman and Nicobar Islands,484,dog_bite_cases in absolute number,
2023,Andhra Pradesh,189539,dog_bite_cases in absolute number,
2023,Arunachal Pradesh,3757,dog_bite_cases in absolute number,
2023,Assam,83176,dog_bite_cases in absolute number,
2023,Bihar,219086,dog_bite_cases in absolute number,
2023,Chandigarh,10621,dog_bite_cases in absolute number,
2023,Chhattisgarh,26286,dog_bite_cases in absolute number,
2023,Dadra and Nagar Haveli,5113,dog_bite_cases in absolute number,
2023,Delhi,16133,dog_bite_cases in absolute number,
2023,Goa,10767,dog_bite_cases in absolute number,
2023,Gujarat,241846,dog_bite_cases in absolute number,
2023,Haryana,38529,dog_bite_cases in absolute number,
2023,Himachal Pradesh,19160,dog_bite_cases in absolute number,
2023,Jammu and Kashmir,31314,dog_bite_cases in absolute number,
2023,Jharkhand,27340,dog_bite_cases in absolute number,
2023,Karnataka,208656,dog_bite_cases in absolute number,
2023,Kerala,63458,dog_bite_cases in absolute number,
2023,Ladakh,2316,dog_bite_cases in absolute number,
2023,Lakshadweep,0,dog_bite_cases in absolute number,
2023,Madhya Pradesh,102275,dog_bite_cases in absolute number,
2023,Maharashtra,435136,dog_bite_cases in absolute number,
2023,Manipur,2511,dog_bite_cases in absolute number,
2023,Meghalaya,8374,dog_bite_cases in absolute number,
2023,Mizoram,1035,dog_bite_cases in absolute number,
2023,Nagaland,569,dog_bite_cases in absolute number,
2023,Odisha,80768,dog_bite_cases in absolute number,
2023,Puducherry,12239,dog_bite_cases in absolute number,
2023,Punjab,17414,dog_bite_cases in absolute number,
2023,Rajasthan,91864,dog_bite_cases in absolute number,
2023,Sikkim,6069,dog_bite_cases in absolute number,
2023,Tamil Nadu,404488,dog_bite_cases in absolute number,
2023,Telangana,108910,dog_bite_cases in absolute number,
2023,Tripura,5705,dog_bite_cases in absolute number,
2023,Uttar Pradesh,218379,dog_bite_cases in absolute number,
2023,Uttarakhand,23536,dog_bite_cases in absolute number,
2023,West Bengal,42905,dog_bite_cases in absolute number,
2023,All India,2759758,dog_bite_cases in absolute number,
2022,Andaman and Nicobar Islands,345,dog_bite_cases in absolute number,
2022,Andhra Pradesh,189225,dog_bite_cases in absolute number,
2022,Arunachal Pradesh,2497,dog_bite_cases in absolute number,
2022,Assam,39565,dog_bite_cases in absolute number,
2022,Bihar,141421,dog_bite_cases in absolute number,
2022,Chandigarh,5365,dog_bite_cases in absolute number,
2022,Chhattisgarh,21020,dog_bite_cases in absolute number,
2022,Dadra and Nagar Haveli,4169,dog_bite_cases in absolute number,
2022,Delhi,6634,dog_bite_cases in absolute number,
2022,Goa,8057,dog_bite_cases in absolute number,
2022,Gujarat,169261,dog_bite_cases in absolute number,
2022,Haryana,35375,dog_bite_cases in absolute number,
2022,Himachal Pradesh,15677,dog_bite_cases in absolute number,
