-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2004 through 12/31/2022 
Location: Latitude  13.1622   Longitude 77.6098 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
GWETTOP             MERRA-2 Surface Soil Wetness (1) 
GWETROOT            MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT           CERES SYN1deg Cloud Amount (%) 
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2004,58.19,44.94,36.12,51.06,77.0,79.31,83.38,82.19,85.31,84.94,83.75,72.31,69.94
RH2M,2005,64.0,45.94,42.88,61.62,62.38,78.62,81.06,82.94,86.19,89.69,87.25,84.75,72.44
RH2M,2006,75.69,58.06,61.0,48.25,66.19,77.62,76.81,75.06,76.06,75.25,79.19,69.94,70.0
RH2M,2007,56.12,48.44,40.12,52.5,68.56,76.06,80.62,84.44,87.12,85.94,81.75,81.06,70.38
RH2M,2008,69.56,64.31,58.62,52.88,58.62,75.19,79.5,84.19,85.44,82.75,81.75,80.0,72.75
RH2M,2009,68.75,51.56,41.19,46.31,62.06,78.44,76.81,78.44,83.25,80.44,83.88,76.44,69.06
RH2M,2010,66.75,48.75,37.75,53.94,68.31,77.0,79.25,82.25,83.56,86.31,87.62,82.81,71.31
RH2M,2011,69.0,57.94,39.12,51.88,65.5,71.94,74.06,78.38,76.62,79.12,75.06,66.5,67.12
RH2M,2012,58.31,43.5,39.0,47.81,63.0,63.88,70.0,73.75,74.25,76.0,70.62,69.56,62.56
RH2M,2013,54.88,51.75,42.5,45.81,64.38,78.75,81.06,80.75,85.69,86.62,81.94,69.56,68.75
RH2M,2014,62.88,49.69,40.94,37.56,61.5,70.88,75.0,77.88,78.06,80.75,72.69,70.19,64.94
RH2M,2015,57.94,45.94,48.19,57.75,67.31,74.81,70.5,72.69,74.06,74.0,85.88,78.12,67.38
RH2M,2016,67.12,53.06,45.75,38.75,61.0,76.5,77.94,76.69,73.56,62.06,50.94,59.56,62.0
RH2M,2017,57.25,43.0,48.38,40.75,63.81,73.12,71.69,79.12,85.81,87.19,86.31,80.88,68.25
RH2M,2018,68.06,55.38,44.5,48.38,68.19,74.94,75.06,74.0,72.31,69.06,66.56,61.38,64.88
RH2M,2019,52.38,50.44,36.56,41.69,60.5,68.56,72.06,77.31,82.06,86.62,84.12,77.56,65.94
RH2M,2020,64.69,51.25,44.12,50.81,56.31,73.81,83.69,83.5,86.25,86.19,85.94,83.31,70.88
RH2M,2021,75.81,59.44,44.0,52.44,69.56,76.25,82.81,80.88,82.56,86.31,89.06,82.75,73.62
RH2M,2022,75.75,61.5,43.88,52.31,72.12,78.56,81.88,84.38,86.44,85.81,85.56,84.12,74.44
GWETTOP,2004,0.34,0.2,0.12,0.38,0.61,0.63,0.73,0.7,0.77,0.77,0.7,0.55,0.55
GWETTOP,2005,0.43,0.28,0.22,0.47,0.51,0.61,0.63,0.69,0.8,0.9,0.9,0.83,0.61
GWETTOP,2006,0.7,0.54,0.51,0.4,0.53,0.61,0.57,0.53,0.54,0.53,0.55,0.46,0.54
GWETTOP,2007,0.26,0.18,0.14,0.37,0.54,0.55,0.62,0.75,0.84,0.82,0.79,0.69,0.55
GWETTOP,2008,0.55,0.48,0.45,0.43,0.41,0.56,0.66,0.76,0.85,0.81,0.75,0.67,0.62
GWETTOP,2009,0.52,0.38,0.28,0.3,0.48,0.62,0.55,0.6,0.71,0.72,0.63,0.53,0.53
GWETTOP,2010,0.47,0.26,0.15,0.4,0.52,0.59,0.59,0.65,0.72,0.74,0.77,0.69,0.55
GWETTOP,2011,0.53,0.44,0.22,0.33,0.52,0.5,0.52,0.58,0.58,0.6,0.54,0.48,0.48
GWETTOP,2012,0.31,0.16,0.12,0.28,0.48,0.41,0.47,0.52,0.53,0.55,0.53,0.48,0.41
GWETTOP,2013,0.27,0.27,0.21,0.3,0.48,0.61,0.62,0.63,0.8,0.76,0.67,0.54,0.52
GWETTOP,2014,0.43,0.23,0.2,0.19,0.46,0.52,0.52,0.53,0.57,0.66,0.57,0.48,0.45
GWETTOP,2015,0.31,0.16,0.3,0.41,0.52,0.56,0.51,0.52,0.55,0.59,0.71,0.62,0.48
GWETTOP,2016,0.5,0.31,0.27,0.19,0.47,0.6,0.61,0.6,0.54,0.48,0.3,0.45,0.45
GWETTOP,2017,0.34,0.2,0.34,0.27,0.49,0.55,0.52,0.65,0.8,0.9,0.82,0.72,0.55
GWETTOP,2018,0.56,0.45,0.33,0.32,0.55,0.56,0.55,0.52,0.55,0.55,0.48,0.36,0.48
GWETTOP,2019,0.23,0.34,0.16,0.26,0.5,0.52,0.51,0.58,0.66,0.77,0.7,0.57,0.48
GWETTOP,2020,0.45,0.25,0.22,0.34,0.43,0.55,0.73,0.75,0.79,0.82,0.77,0.71,0.57
GWETTOP,2021,0.59,0.48,0.29,0.36,0.54,0.6,0.71,0.7,0.7,0.77,0.81,0.76,0.61
GWETTOP,2022,0.61,0.48,0.32,0.38,0.59,0.66,0.7,0.8,0.87,0.86,0.82,0.78,0.66
GWETROOT,2004,0.48,0.48,0.48,0.49,0.59,0.62,0.7,0.68,0.73,0.75,0.67,0.57,0.6
GWETROOT,2005,0.51,0.48,0.48,0.51,0.52,0.61,0.62,0.66,0.78,0.9,0.94,0.83,0.66
GWETROOT,2006,0.69,0.57,0.55,0.5,0.54,0.6,0.59,0.55,0.55,0.55,0.55,0.51,0.56
GWETROOT,2007,0.48,0.48,0.48,0.51,0.55,0.57,0.6,0.71,0.82,0.8,0.78,0.66,0.62
GWETROOT,2008,0.58,0.52,0.51,0.51,0.5,0.58,0.62,0.73,0.85,0.79,0.73,0.66,0.63
GWETROOT,2009,0.55,0.49,0.48,0.48,0.52,0.62,0.57,0.59,0.67,0.7,0.62,0.55,0.57
GWETROOT,2010,0.52,0.48,0.48,0.51,0.54,0.59,0.59,0.62,0.68,0.71,0.74,0.66,0.59
GWETROOT,2011,0.56,0.5,0.48,0.51,0.54,0.52,0.52,0.57,0.58,0.59,0.56,0.52,0.54
GWETROOT,2012,0.48,0.48,0.48,0.48,0.51,0.49,0.51,0.52,0.55,0.55,0.56,0.52,0.51
GWETROOT,2013,0.48,0.48,0.48,0.48,0.51,0.6,0.61,0.61,0.77,0.73,0.65,0.56,0.58
GWETROOT,2014,0.5,0.48,0.48,0.48,0.5,0.54,0.54,0.54,0.56,0.63,0.59,0.52,0.53
GWETROOT,2015,0.48,0.48,0.48,0.51,0.53,0.57,0.53,0.54,0.55,0.59,0.66,0.62,0.55
GWETROOT,2016,0.53,0.48,0.48,0.48,0.52,0.59,0.6,0.61,0.56,0.52,0.48,0.51,0.53
GWETROOT,2017,0.48,0.48,0.48,0.48,0.52,0.57,0.54,0.62,0.77,0.91,0.82,0.7,0.62
GWETROOT,2018,0.58,0.52,0.48,0.48,0.55,0.58,0.56,0.54,0.55,0.56,0.52,0.49,0.54
GWETROOT,2019,0.48,0.48,0.48,0.48,0.52,0.53,0.52,0.57,0.62,0.73,0.68,0.59,0.55
GWETROOT,2020,0.51,0.48,0.48,0.49,0.5,0.55,0.7,0.73,0.76,0.8,0.75,0.7,0.62
GWETROOT,2021,0.59,0.52,0.48,0.5,0.55,0.6,0.67,0.66,0.67,0.72,0.78,0.74,0.62
GWETROOT,2022,0.62,0.52,0.48,0.49,0.58,0.64,0.66,0.77,0.88,0.87,0.81,0.76,0.67
CLOUD_AMT,2004,45.23,37.48,47.62,46.28,70.88,72.69,90.85,72.88,83.77,67.19,51.98,34.94,60.23
CLOUD_AMT,2005,48.46,36.88,48.85,61.23,57.59,80.22,86.49,81.88,78.77,82.53,56.38,41.88,63.59
CLOUD_AMT,2006,30.05,36.53,46.45,42.06,60.55,76.32,86.95,85.6,81.72,59.38,62.13,51.79,60.09
CLOUD_AMT,2007,41.95,36.08,37.69,36.62,55.39,83.46,89.57,86.93,85.31,69.07,27.58,47.16,58.25
